基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
南方宝丰混合C,008514,1.04亿元（2020-09-30）,2.96%,6.07%,9.02%,--,--,11.83%,林乐峰/孙鲁闽,311天,11.83%,4年又287天/10年又30天
华安添瑞6个月混合C,009401,6.36亿元（2020-09-30）,-0.07%,1.16%,5.40%,--,--,5.54%,陆奔/周益鸣,202天,5.54%,2年又108天/2年又217天
中欧心益稳健6个月混合C,009622,8.14亿元（2020-09-30）,3.07%,4.31%,5.06%,--,--,5.06%,黄华,188天,5.06%,3年又293天
嘉实新添荣定期混合C,005797,0.07亿元（2020-09-30）,1.48%,5.38%,5.98%,6.02%,--,14.98%,王鑫晨/刘宁,207天,6.01%,1年又231天/7年又310天
万家瑞富灵活配置混合,001530,7.60亿元（2020-09-30）,2.63%,5.81%,9.75%,15.65%,25.15%,31.07%,谷丹青/苏谋东,36天,2.56%,47天/7年又228天
兴业聚惠灵活配置混合C,002923,2.14亿元（2020-09-30）,1.90%,5.79%,8.55%,21.55%,35.50%,44.32%,徐青,3年又357天,43.45%,3年又357天
金鹰元安混合C,002513,1.27亿元（2020-09-30）,3.42%,8.15%,12.32%,22.05%,47.65%,49.20%,杨晓斌/林龙军,1年又199天,29.21%,2年又283天/2年又239天
鹏华弘泽混合C,001381,0.23亿元（2020-09-30）,4.12%,6.63%,7.61%,15.58%,26.05%,40.61%,张栓伟/叶朝明,1年又141天,20.62%,4年又140天/6年又318天
长江添利混合A,009700,4.43亿元（2020-08-06）,5.45%,9.07%,--,--,--,8.93%,徐婕/漆志伟,131天,8.46%,1年又272天/4年又86天
信诚至选混合C,003380,0.23亿元（2020-09-30）,2.83%,5.73%,10.77%,18.77%,34.58%,43.00%,杨立春/提云涛,362天,18.45%,5年又278天/4年又315天
大成民稳增长混合A,008846,5.37亿元（2020-09-30）,1.88%,5.12%,7.57%,--,--,9.70%,孙丹/王磊,285天,9.70%,3年又248天/7年又219天
易方达战略配售(LOF),161131,270.19亿元（2020-09-30）,1.72%,3.78%,2.35%,5.06%,--,14.63%,纪玲云/胡剑/付浩,1年又123天,3.61%,7年又120天/8年又318天/12年又278天
泓德致远混合C,004966,8.66亿元（2020-09-30）,7.28%,10.83%,19.10%,44.84%,96.38%,101.11%,邬传雁,3年又134天,101.11%,5年又217天
博时主题行业混合(LOF),160505,89.76亿元（2020-09-30）,12.70%,24.90%,21.37%,35.08%,49.03%,1980.33%,金晟哲/王俊,242天,39.64%,4年又79天/5年又355天
兴业聚源灵活配置混合,002660,6.52亿元（2020-09-30）,2.08%,5.11%,8.48%,22.10%,27.13%,42.00%,徐青,1年又319天,25.44%,3年又357天
广发鑫和灵活配置混合A,004750,4.69亿元（2020-09-30）,2.10%,4.83%,6.84%,12.80%,--,27.12%,洪志/谢军,1年又149天,16.27%,2年又1天/14年又124天
信诚至选混合A,003379,7.18亿元（2020-09-30）,2.84%,5.76%,10.82%,18.89%,34.75%,43.34%,杨立春/提云涛,362天,18.57%,5年又278天/4年又315天
鹏华弘盛混合A,001067,11.49亿元（2020-09-30）,1.60%,4.17%,6.11%,13.31%,23.47%,48.81%,王石千,1年又151天,16.68%,2年又289天
长信利广混合C,519960,1.52亿元（2020-09-30）,3.63%,8.73%,9.72%,30.56%,55.16%,69.50%,吴晖/李家春,1年又200天,60.85%,1年又257天/11年又165天
招商安德灵活配置混合C,002390,2.48亿元（2020-09-30）,0.76%,3.89%,6.51%,14.41%,34.73%,34.73%,王刚/侯杰,1年又165天,25.25%,3年又306天/2年又73天
朱雀产业智选混合C,007881,0.97亿元（2020-09-30）,16.17%,26.41%,33.87%,72.92%,--,78.32%,何之渊/翟羽佳,195天,48.82%,1年又198天/1年又39天
华安添瑞6个月混合A,009400,18.93亿元（2020-09-30）,-0.03%,1.30%,5.68%,--,--,5.83%,陆奔/周益鸣,202天,5.83%,2年又108天/2年又217天
大成尊享18月定开混合A,009493,2.01亿元（2020-09-23）,2.60%,5.14%,--,--,--,5.16%,孙丹/王磊,109天,5.16%,3年又248天/7年又219天
交银稳健配置混合A,519690,27.58亿元（2020-09-30）,1.16%,6.53%,0.69%,22.01%,24.33%,705.80%,陈孜铎,2年又167天,39.02%,6年又82天
广发聚荣一年持有混合C,009526,1.73亿元（2020-09-30）,2.09%,3.26%,3.21%,--,--,3.50%,李晓博/张芊,158天,3.11%,193天/8年又29天
景顺长城泰申回报混合,008479,5.22亿元（2020-09-30）,2.50%,5.72%,7.30%,--,--,9.59%,陈莹/万梦,184天,7.72%,184天/5年又192天
海富通富泽混合C,009157,2.74亿元（2020-09-30）,2.50%,3.94%,5.42%,--,--,5.70%,张靖爽/杜晓海,202天,5.70%,4年又173天/4年又203天
信诚至瑞灵活配置C,003433,2.54亿元（2020-09-30）,2.79%,5.55%,10.36%,19.89%,32.91%,45.47%,杨立春/提云涛,362天,19.46%,5年又278天/4年又315天
嘉实惠泽混合(LOF),160722,1.21亿元（2020-09-30）,6.46%,25.49%,20.77%,52.62%,86.08%,95.58%,王汉博/方晗,151天,27.11%,1年又342天/3年又43天
鹏华弘泽混合A,001172,9.89亿元（2020-09-30）,4.13%,6.66%,7.67%,15.71%,26.75%,43.82%,张栓伟/叶朝明,1年又141天,20.86%,4年又140天/6年又318天
新华红利回报混合,003025,9.81亿元（2020-09-30）,2.78%,5.16%,6.03%,24.89%,62.66%,74.24%,姚秋,3年又290天,74.24%,6年又178天
兴业聚鑫灵活配置混合C,008221,1.55亿元（2020-09-30）,2.11%,4.61%,6.52%,16.29%,--,19.05%,腊博,1年又54天,19.05%,6年又345天
华夏磐泰混合(LOF),160323,0.48亿元（2020-09-30）,2.86%,3.45%,0.79%,15.84%,18.89%,21.85%,张城源,1年又362天,25.49%,4年又16天
招商睿逸混合,002317,3.82亿元（2020-09-30）,3.39%,8.13%,12.89%,34.96%,41.90%,46.30%,李崟,1年又203天,48.98%,4年又343天
中欧瑾灵灵活配置混合A,004734,6.80亿元（2020-09-30）,4.59%,8.91%,10.99%,24.12%,33.75%,38.62%,张跃鹏,1年又144天,29.67%,5年又46天
鹏华弘盛混合C,001380,0.11亿元（2020-09-30）,1.58%,4.11%,6.00%,13.08%,22.91%,101.70%,王石千,1年又151天,16.34%,2年又289天
永赢竞争力精选混合,009140,0.36亿元（2020-09-30）,15.33%,37.77%,35.86%,--,--,62.07%,乔敏,263天,62.07%,1年又87天
中欧瑾灵灵活配置混合C,004735,0.26亿元（2020-09-30）,4.52%,8.66%,10.55%,23.13%,30.30%,34.94%,张跃鹏,1年又144天,28.24%,5年又46天
大成景尚灵活配置混合C,003693,0.00亿元（2020-09-30）,2.40%,4.51%,7.85%,13.68%,27.29%,36.03%,王立/孙丹/王磊,2年又60天,25.04%,14年又2天/3年又248天/7年又219天
建信鑫荣回报灵活配置混合,001498,7.39亿元（2020-09-30）,2.35%,4.30%,2.77%,32.71%,68.71%,100.21%,叶乐天,3年又13天,72.34%,8年又297天
东方红启东三年持有混合,008985,67.65亿元（2020-09-30）,20.24%,31.92%,53.74%,--,--,95.46%,李竞,300天,95.46%,300天
国泰兴益灵活配置混合C,002055,3.41亿元（2020-09-30）,3.79%,7.38%,10.41%,17.93%,24.48%,45.74%,王琳,233天,18.75%,3年又351天
大成尊享18月定开混合C,009494,0.24亿元（2020-09-23）,2.54%,4.96%,--,--,--,4.97%,孙丹/王磊,109天,4.97%,3年又248天/7年又219天
建信民丰回报混合,004413,0.67亿元（2020-09-30）,0.12%,1.11%,2.33%,10.47%,15.35%,20.32%,叶乐天,3年又268天,20.32%,8年又297天
易方达瑞弘混合A,003882,9.25亿元（2020-09-30）,5.25%,8.41%,15.84%,28.34%,62.55%,78.61%,林森,2年又343天,61.29%,5年又45天
兴业聚惠灵活配置混合A,001547,2.72亿元（2020-09-30）,1.89%,5.77%,8.52%,21.74%,35.91%,66.90%,徐青,3年又357天,44.00%,3年又357天
招商瑞丰灵活配置混合发起式A,000314,0.09亿元（2020-09-30）,0.68%,4.02%,8.45%,13.19%,22.72%,89.84%,王刚,3年又167天,25.70%,3年又306天
万家潜力价值灵活配置混合C,005401,1.58亿元（2020-09-30）,7.38%,19.18%,17.93%,62.48%,--,131.73%,高源,1年又114天,82.71%,5年又66天
东方红领先精选混合,001202,6.44亿元（2020-09-30）,3.88%,7.53%,9.81%,17.74%,37.36%,67.01%,纪文静,2年又197天,37.99%,5年又182天
招商瑞丰灵活配置混合发起式C,002017,9.06亿元（2020-09-30）,0.63%,3.99%,8.24%,12.70%,21.04%,33.78%,王刚,3年又167天,23.65%,3年又306天
易方达瑞弘混合C,003883,0.69亿元（2020-09-30）,5.24%,8.36%,15.73%,28.08%,61.82%,77.70%,林森,2年又343天,60.58%,5年又45天
万家潜力价值灵活配置混合A,005400,4.89亿元（2020-09-30）,7.43%,19.35%,18.23%,63.30%,--,135.79%,高源,1年又114天,83.91%,5年又66天
南方金融混合,004702,3.45亿元（2020-09-30）,1.32%,10.59%,12.72%,27.46%,52.61%,46.20%,黄春逢,1年又351天,75.93%,5年又13天
兴业聚盈灵活配置混合,002494,12.37亿元（2020-09-30）,2.10%,5.39%,6.74%,17.91%,30.22%,40.90%,腊博,4年又278天,40.90%,6年又345天
易方达瑞信混合I,001441,9.14亿元（2020-09-30）,3.23%,5.11%,7.95%,17.95%,--,43.90%,韩阅川,309天,10.95%,1年又199天
长盛城镇化主题混合,000354,0.49亿元（2020-09-30）,20.09%,20.34%,2.57%,28.25%,34.51%,173.07%,代毅,2年又119天,81.66%,2年又220天
中信建投睿利C,004635,0.01亿元（2020-09-30）,2.76%,7.75%,8.51%,29.63%,22.92%,47.43%,周户,1年又275天,28.54%,3年又351天
招商丰泽混合C,001446,0.00亿元（2020-09-30）,0.92%,4.40%,9.13%,14.11%,21.73%,42.30%,王刚,3年又167天,24.50%,3年又306天
红土创新新兴产业混合,001753,0.80亿元（2020-09-30）,32.47%,60.40%,57.57%,84.06%,77.14%,69.70%,石炯/侯世霞,186天,57.57%,186天/5年又111天
博时裕隆灵活配置混合,000652,16.83亿元（2020-09-30）,3.72%,11.09%,21.42%,52.45%,109.46%,331.64%,陈鹏扬,5年又141天,196.69%,5年又141天
西部利得新享混合A,008541,0.49亿元（2020-09-30）,1.61%,3.32%,-0.38%,--,--,0.57%,周帅/刘荟,166天,0.47%,166天/5年又8天
华泰保兴策略精选A,005169,0.25亿元（2020-09-30）,0.50%,6.04%,4.78%,12.17%,61.33%,62.39%,赵健,45天,1.31%,2年又213天
东方盛世灵活配置混合C,009590,1.91亿元（2020-09-30）,4.31%,9.96%,11.68%,--,--,16.70%,王然,213天,16.70%,5年又257天
东方新策略灵活配置混合C,002060,4.49亿元（2020-09-30）,2.46%,7.66%,9.12%,27.42%,28.02%,33.56%,严凯/李瑞,6天,1.27%,255天/3年又27天
金鹰元安混合A,000110,5.19亿元（2020-09-30）,3.43%,8.17%,12.38%,22.18%,43.30%,91.58%,杨晓斌/林龙军,1年又199天,29.39%,2年又283天/2年又239天
华安新回报灵活配置混合,001311,7.49亿元（2020-09-30）,1.65%,3.73%,6.78%,12.64%,25.29%,41.70%,朱才敏,3年又192天,30.36%,6年又53天
交银瑞鑫定开混合,003900,6.66亿元（2020-09-30）,3.04%,6.72%,13.05%,23.35%,39.98%,54.50%,王艺伟,22天,2.66%,1年又44天
泓德优选成长混合,001256,32.29亿元（2020-09-30）,10.37%,20.93%,22.97%,55.11%,84.72%,131.14%,王克玉,5年又55天,124.41%,10年又33天
恒生前海恒锦裕利A,006535,0.41亿元（2020-09-30）,3.72%,8.14%,6.68%,9.79%,--,12.73%,李维康,268天,8.08%,1年又297天
信诚新旺混合(LOF)C,165527,0.07亿元（2020-09-30）,2.25%,4.99%,9.75%,19.21%,29.41%,45.20%,杨立春/提云涛,362天,18.82%,5年又278天/4年又315天
南方利淘C,001504,0.40亿元（2020-09-30）,3.37%,6.68%,10.05%,20.71%,35.30%,52.08%,陈乐,240天,16.05%,3年又12天
九泰久兴灵活配置混合,001839,3.05亿元（2020-09-30）,1.36%,2.76%,6.55%,36.18%,51.93%,69.53%,李响,110天,1.07%,1年又17天
海富通欣益混合A,519222,3.06亿元（2020-09-30）,3.88%,6.49%,10.62%,18.52%,41.84%,53.19%,朱斌全/夏妍妍,1年又88天,22.11%,2年又42天/3年又6天
华安沪港深通精选灵活配置混合,001581,6.84亿元（2020-09-30）,16.26%,22.62%,31.26%,60.16%,99.61%,180.86%,高钥群,1年又134天,91.24%,3年又262天
东方新策略灵活配置混合A,001318,1.46亿元（2020-09-30）,2.48%,7.74%,9.28%,27.79%,25.57%,32.06%,严凯/李瑞,6天,1.27%,255天/3年又27天
招商丰泽混合A,001427,7.58亿元（2020-09-30）,1.05%,4.63%,9.47%,14.41%,23.29%,44.50%,王刚,3年又167天,26.31%,3年又306天
南方君信混合A,005741,3.73亿元（2020-09-30）,8.74%,22.34%,26.33%,55.72%,--,112.06%,茅炜,2年又226天,112.06%,4年又343天
信诚新旺混合(LOF)A,165526,4.15亿元（2020-09-30）,2.29%,4.97%,9.83%,19.31%,29.69%,52.00%,杨立春/提云涛,362天,18.84%,5年又278天/4年又315天
易方达瑞信混合E,001442,1.59亿元（2020-09-30）,3.32%,5.14%,7.92%,17.78%,--,43.10%,韩阅川,309天,10.76%,1年又199天
东方红睿玺三年定开混合A,501049,31.76亿元（2020-09-30）,7.18%,16.68%,20.95%,46.45%,78.23%,87.27%,张伟锋/王延飞,20天,7.38%,130天/5年又218天
南方君信混合C,010150,0.00亿元（2020-09-30）,8.72%,22.03%,--,--,--,21.00%,茅炜,125天,21.00%,4年又343天
海富通新内需混合A,519130,2.32亿元（2020-09-30）,3.00%,4.72%,7.76%,13.36%,25.09%,93.13%,朱斌全/张靖爽,73天,3.70%,2年又42天/4年又173天
诺安优势行业混合C,002053,0.00亿元（2020-09-30）,1.41%,1.47%,2.23%,11.73%,12.64%,17.72%,裴禹翔/吴博俊,4年又138天,13.74%,4年又340天/6年又212天
华夏新趋势混合C,002232,1.13亿元（2020-09-30）,3.20%,5.54%,26.21%,26.21%,24.59%,37.58%,李俊,2年又25天,5.54%,3年又31天
交银优择回报灵活配置混合C,519771,2.12亿元（2020-09-30）,2.35%,5.07%,9.15%,16.41%,33.55%,44.64%,王艺伟,22天,2.04%,1年又44天
兴业聚鑫灵活配置混合A,002498,11.91亿元（2020-09-30）,2.03%,4.70%,6.61%,16.23%,29.04%,44.53%,腊博,4年又261天,44.53%,6年又345天
交银新回报灵活配置混合A,519752,10.80亿元（2020-09-30）,2.82%,5.65%,10.04%,15.81%,28.80%,48.62%,王艺伟,22天,2.46%,1年又44天
南方利鑫C,001503,0.01亿元（2020-09-30）,2.75%,5.58%,9.77%,19.62%,32.68%,48.36%,陈乐,240天,15.10%,3年又12天
新华鑫利灵活配置混合,519165,0.10亿元（2020-09-30）,1.84%,2.89%,0.94%,4.18%,8.41%,49.60%,王滨,283天,3.10%,4年又360天
民生加银新战略混合,001352,7.73亿元（2020-09-30）,3.14%,5.52%,13.51%,25.87%,47.34%,71.06%,刘昊/柳世庆,167天,9.72%,167天/4年又162天
大成策略回报混合,090007,8.54亿元（2020-09-30）,-1.76%,5.49%,9.25%,19.97%,19.21%,484.20%,徐彦,293天,37.94%,6年又328天
中融鑫思路混合A,004008,3.19亿元（2020-09-30）,4.28%,7.45%,10.21%,28.23%,30.97%,132.94%,陈荔/金拓,52天,5.06%,137天/3年又198天
南方利淘A,001183,5.48亿元（2020-09-30）,3.30%,6.67%,10.11%,20.77%,35.48%,53.50%,陈乐,240天,16.02%,3年又12天
华富益鑫灵活配置混合A,002728,3.85亿元（2020-09-30）,2.80%,6.09%,8.36%,15.30%,34.95%,61.67%,张惠,4年又37天,61.51%,6年又54天
东方红睿玺三年定开混合C,010506,--亿元（--）,7.12%,--,--,--,--,-20.88%,张伟锋/王延飞,20天,7.35%,130天/5年又218天
兴业聚丰灵活配置混合,002668,8.16亿元（2020-09-30）,2.32%,5.40%,3.60%,5.35%,11.67%,28.53%,唐丁祥,1年又319天,9.76%,1年又326天
华宝资源优选混合A,240022,3.89亿元（2020-09-30）,18.02%,42.53%,45.87%,71.77%,79.89%,194.95%,丁靖斐/蔡目荣,1年又128天,84.25%,1年又128天/8年又144天
诺安优势行业混合A,000538,0.57亿元（2020-09-30）,1.34%,1.47%,2.16%,11.73%,12.56%,51.50%,裴禹翔/吴博俊,4年又138天,13.74%,4年又340天/6年又212天
广发安盈混合C,002119,0.20亿元（2020-09-30）,3.05%,7.08%,5.37%,23.47%,31.05%,45.20%,张芊/吴敌,75天,4.61%,8年又29天/255天
景顺长城科技创新混合,008657,6.53亿元（2020-09-30）,12.82%,20.70%,27.93%,--,--,61.28%,詹成,298天,61.28%,5年又14天
国泰量化成长优选混合C,005096,0.78亿元（2020-09-30）,10.31%,16.45%,17.58%,49.19%,--,37.43%,艾小军,2年又247天,37.43%,6年又364天
国泰兴益灵活配置混合A,001265,3.18亿元（2020-09-30）,3.81%,7.47%,10.56%,18.14%,24.86%,49.64%,王琳,233天,18.78%,3年又351天
上投摩根安隆回报A,004738,11.03亿元（2020-09-30）,1.67%,4.06%,6.02%,14.72%,--,28.87%,陈圆明,242天,9.79%,1年又274天
光大风格轮动混合C,007499,0.00亿元（2020-09-30）,1.58%,6.22%,11.93%,41.98%,--,41.70%,翟云飞/金昉毅,1年又9天,41.70%,4年又342天/5年又42天
长江添利混合C,009701,1.13亿元（2020-08-06）,5.41%,8.95%,--,--,--,8.74%,徐婕/漆志伟,131天,8.31%,1年又272天/4年又86天
博道志远混合A,007825,0.83亿元（2020-09-30）,4.97%,16.66%,23.97%,52.46%,--,70.34%,袁争光,1年又116天,70.34%,6年又202天
交银周期回报灵活配置混合C,519759,1.77亿元（2020-09-30）,2.38%,4.91%,9.26%,14.46%,28.36%,63.33%,王艺伟,22天,1.97%,1年又44天
长信利广混合A,519961,5.61亿元（2020-09-30）,3.66%,8.80%,9.86%,30.88%,60.81%,81.71%,吴晖/李家春,1年又200天,60.52%,1年又257天/11年又165天
德邦大健康灵活配置混合,001179,3.10亿元（2020-09-30）,3.78%,17.72%,28.17%,45.25%,73.90%,106.44%,黎莹,5年又208天,98.67%,5年又222天
大成景瑞稳健配置混合A,008629,6.51亿元（2020-09-30）,1.82%,3.95%,7.34%,--,--,8.60%,孙丹/王磊,259天,8.60%,3年又248天/7年又219天
鹏华弘安混合A,002018,8.03亿元（2020-09-30）,2.97%,6.12%,5.76%,14.70%,28.92%,40.74%,李君,2年又123天,28.79%,7年又346天
中欧瑾源灵活配置混合A,001146,2.12亿元（2020-09-30）,3.64%,6.54%,10.93%,17.79%,31.31%,56.04%,余罗畅/张跃鹏,1年又176天,23.82%,1年又176天/5年又46天
华夏睿磐泰茂混合C,004721,2.08亿元（2020-09-30）,2.28%,5.22%,6.97%,13.28%,19.85%,20.18%,宋洋/张弘弢,201天,10.28%,4年又54天/11年又187天
鹏华招华一年持有期混合A,009822,5.35亿元（2020-08-17）,1.02%,2.27%,--,--,--,2.64%,汪坤/张丽娟,134天,2.60%,134天/340天
鹏华招华一年持有期混合C,009823,1.67亿元（2020-08-17）,1.00%,2.15%,--,--,--,2.48%,汪坤/张丽娟,134天,2.46%,134天/340天
博道志远混合C,007826,0.82亿元（2020-09-30）,4.92%,16.50%,23.66%,51.70%,--,69.22%,袁争光,1年又116天,69.22%,6年又202天
海富通新内需混合C,002172,6.39亿元（2020-09-30）,2.98%,4.69%,7.72%,13.27%,24.57%,40.56%,朱斌全/张靖爽,73天,3.72%,2年又42天/4年又173天
财通资管鑫锐混合A,004900,4.80亿元（2020-09-30）,0.32%,3.95%,4.76%,16.04%,41.18%,42.97%,邹舟/辛晨晨/顾宇笛,79天,2.27%,1年又234天/123天/3年又135天
海富通安颐收益混合A,519050,6.58亿元（2020-09-30）,3.00%,4.85%,6.91%,13.92%,27.96%,95.15%,夏妍妍/杜晓海,1年又9天,13.76%,3年又6天/4年又203天
东方红睿丰混合,169101,50.62亿元（2020-09-30）,12.16%,29.90%,41.54%,55.56%,74.46%,434.68%,韩冬,239天,67.81%,4年又355天
大成景瑞稳健配置混合C,008630,0.56亿元（2020-09-30）,1.77%,3.78%,7.03%,--,--,8.14%,孙丹/王磊,259天,8.14%,3年又248天/7年又219天
浦银安盛量化多策略混合A,005865,6.30亿元（2020-09-30）,3.09%,6.08%,1.02%,18.78%,--,43.15%,陈士俊,2年又128天,43.15%,10年又34天
恒生前海恒锦裕利C,006536,3.78亿元（2020-09-30）,3.69%,8.09%,6.60%,9.62%,--,13.42%,李维康,268天,7.96%,1年又297天
南方产业优势两年混合C,009781,3.50亿元（2020-08-14）,6.02%,7.98%,--,--,--,7.41%,蒋秋洁,149天,7.41%,6年又25天
南方创新驱动混合C,009930,16.91亿元（2020-08-28）,11.73%,14.83%,--,--,--,14.27%,骆帅,135天,14.27%,5年又229天
长信添利安心收益混合C,010200,0.00亿元（2020-10-19）,3.01%,--,--,--,--,3.82%,朱垚,83天,3.82%,1年又241天
交银优选回报灵活配置混合C,519769,2.06亿元（2020-09-30）,2.75%,5.57%,9.43%,16.94%,31.58%,42.37%,王艺伟,22天,2.36%,1年又44天
西部利得新享混合C,008542,0.42亿元（2020-09-30）,1.60%,3.29%,-0.44%,--,--,0.50%,周帅/刘荟,166天,0.42%,166天/5年又8天
中银瑞利混合C,002414,4.37亿元（2020-09-30）,3.91%,7.07%,8.02%,17.52%,35.98%,48.07%,苗婷,1年又115天,22.55%,4年又148天
广发安盈混合A,002118,3.23亿元（2020-09-30）,3.11%,7.20%,5.49%,23.83%,31.65%,46.00%,张芊/吴敌,75天,4.66%,8年又29天/255天
天弘裕利灵活配置混合C,005997,0.39亿元（2020-09-30）,1.99%,2.00%,2.16%,2.69%,--,7.90%,彭玮/张寓/赵鼎龙,15天,1.81%,15天/193天/1年又57天
前海开源多元策略混合C,004497,1.75亿元（2020-09-30）,5.38%,3.82%,6.90%,30.85%,76.16%,90.02%,黄玥,1年又68天,47.86%,3年又324天
光大银发商机混合,000589,2.42亿元（2020-09-30）,9.52%,17.98%,18.76%,60.54%,98.24%,306.95%,陈栋,5年又227天,56.92%,5年又273天
南方创新驱动混合A,009929,127.00亿元（2020-08-28）,11.79%,15.03%,--,--,--,14.52%,骆帅,135天,14.52%,5年又229天
前海开源泽鑫混合C,005324,0.06亿元（2020-09-30）,3.86%,6.78%,10.49%,25.71%,--,84.38%,曾健飞,59天,4.38%,1年又155天
南方利鑫A,001334,7.27亿元（2020-09-30）,2.75%,5.58%,9.85%,19.70%,32.77%,49.50%,陈乐,240天,15.18%,3年又12天
红塔红土稳健精选混合A,009817,1.46亿元（2020-10-16）,5.72%,--,--,--,--,7.87%,赵耀,86天,7.87%,5年又251天
上投摩根量化多因子混合,005120,0.53亿元（2020-09-30）,1.11%,1.60%,0.22%,23.23%,--,38.02%,胡迪,3天,-0.09%,3天
招商安荣混合C,002777,0.05亿元（2020-09-30）,0.86%,3.73%,2.89%,11.37%,24.23%,26.22%,王刚,206天,12.04%,3年又306天
华富弘鑫混合C,003183,2.65亿元（2020-09-30）,2.89%,6.07%,8.34%,14.08%,26.43%,30.18%,张惠,1年又87天,17.41%,6年又54天
建信鑫丰回报灵活配置混合C,002141,6.24亿元（2020-09-30）,2.63%,4.74%,1.09%,18.55%,14.38%,24.83%,朱虹,1年又152天,20.02%,8年又158天
财通资管鑫锐混合C,004901,0.08亿元（2020-09-30）,0.31%,3.89%,4.66%,15.81%,40.06%,41.82%,邹舟/辛晨晨/顾宇笛,79天,2.23%,1年又234天/123天/3年又135天
南方产业优势两年混合A,008546,28.49亿元（2020-08-14）,6.08%,8.16%,--,--,--,7.67%,蒋秋洁,149天,7.67%,6年又25天
海富通内需热点混合,519056,17.07亿元（2020-09-30）,4.70%,10.76%,15.31%,61.09%,158.66%,225.40%,黄峰,6年又26天,155.62%,6年又26天
东方盛世灵活配置混合A,002497,0.13亿元（2020-09-30）,4.31%,9.96%,11.70%,22.32%,36.01%,49.12%,王然,291天,24.76%,5年又257天
前海开源泽鑫混合A,005323,6.95亿元（2020-09-30）,3.88%,6.81%,10.55%,25.77%,--,84.55%,曾健飞,59天,4.40%,1年又155天
浦银安盛量化多策略混合C,005866,0.01亿元（2020-09-30）,3.01%,5.85%,0.60%,17.64%,--,35.43%,陈士俊,2年又128天,35.43%,10年又34天
鹏华策略优选灵活配置混合,160627,4.33亿元（2020-09-30）,10.51%,25.96%,33.41%,70.49%,99.78%,242.03%,袁航,4年又109天,143.78%,6年又69天
广发安享混合A,002116,5.24亿元（2020-09-30）,2.00%,4.64%,6.73%,13.31%,27.70%,42.45%,谢军,4年又324天,42.45%,14年又124天
国富中国收益混合,450001,6.79亿元（2020-09-30）,9.09%,12.52%,19.92%,58.78%,96.23%,671.14%,徐荔蓉,2年又139天,109.96%,14年又54天
东方鼎新灵活配置混合A,001196,2.89亿元（2020-09-30）,3.73%,6.94%,9.44%,20.09%,27.14%,59.79%,盛泽,2年又9天,68.08%,2年又151天
交银新回报灵活配置混合C,519760,0.63亿元（2020-09-30）,2.79%,5.63%,10.01%,15.74%,351.97%,404.71%,王艺伟,22天,2.44%,1年又44天
建信鑫丰回报灵活配置混合A,001408,0.01亿元（2020-09-30）,2.64%,4.77%,1.11%,18.63%,14.70%,29.46%,朱虹,1年又152天,20.15%,8年又158天
中欧真益稳健一年混合C,009516,0.52亿元（2020-09-30）,4.80%,6.72%,7.89%,--,--,8.33%,黄华,220天,8.33%,3年又293天
国泰量化成长优选混合A,005095,1.87亿元（2020-09-30）,10.38%,16.70%,18.05%,50.37%,--,40.87%,艾小军,2年又247天,40.87%,6年又364天
前海开源多元策略混合A,004496,0.74亿元（2020-09-30）,5.38%,3.85%,6.95%,30.97%,76.50%,92.97%,黄玥,1年又68天,48.03%,3年又324天
长信添利安心收益混合A,010199,2.19亿元（2020-10-19）,3.04%,--,--,--,--,3.91%,朱垚,83天,3.91%,1年又241天
九泰久稳灵活配置混合C,002454,0.06亿元（2020-09-30）,7.84%,13.40%,5.97%,10.89%,7.74%,10.00%,刘源,73天,12.02%,130天
南方荣发混合,003332,6.56亿元（2020-09-30）,0.89%,2.62%,0.80%,10.01%,19.56%,25.30%,王啸,331天,9.53%,4年又33天
中欧真益稳健一年混合A,009515,18.79亿元（2020-09-30）,4.85%,6.89%,8.22%,--,--,8.72%,黄华,220天,8.72%,3年又293天
中邮创新优势灵活配置混合,001275,2.69亿元（2020-09-30）,6.74%,12.93%,8.20%,38.14%,48.69%,18.80%,周楠,300天,41.26%,5年又231天
东方成长收益灵活配置混合A,400013,0.31亿元（2020-09-30）,1.89%,4.87%,0.91%,9.78%,10.88%,60.25%,薛子徵,1年又135天,16.24%,5年又257天
华富弘鑫混合A,003182,3.71亿元（2020-09-30）,2.91%,6.13%,8.45%,14.31%,27.29%,31.54%,张惠,1年又87天,17.71%,6年又54天
九泰久稳灵活配置混合A,002453,0.09亿元（2020-09-30）,7.93%,13.62%,6.42%,11.84%,10.43%,14.30%,刘源,73天,12.17%,130天
华宝资源优选混合C,011068,--亿元（--）,--,--,--,--,--,14.46%,丁靖斐/蔡目荣,18天,14.46%,1年又128天/8年又144天
东方民丰回报赢安混合C,004006,0.02亿元（2020-09-30）,-0.20%,0.62%,2.20%,4.20%,0.10%,4.48%,曲华锋,130天,0.32%,255天
国投瑞银信息消费混合,000845,0.77亿元（2020-09-30）,2.54%,9.56%,9.95%,27.73%,38.89%,165.50%,汤海波,1年又14天,28.16%,8年又308天
光大风格轮动混合A,002305,3.19亿元（2020-09-30）,1.61%,6.39%,11.86%,42.11%,41.78%,19.80%,金昉毅/翟云飞,1年又245天,64.33%,5年又42天/4年又342天
