基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
上投摩根中国优势混合,375010,16.73亿元（2020-09-30）,22.47%,31.23%,31.80%,84.71%,83.30%,1032.18%,杜猛,1年又288天,123.71%,9年又184天
大成盛世精选灵活配置混合,002945,3.21亿元（2020-09-30）,17.49%,25.73%,33.55%,90.05%,105.99%,106.20%,魏庆国,363天,84.60%,5年又280天
信达澳银红利回报混合,610005,0.65亿元（2020-09-30）,16.93%,29.23%,36.94%,87.89%,90.08%,134.11%,邹运,167天,37.05%,1年又236天
广发新动力混合,000550,5.32亿元（2020-09-30）,12.13%,19.25%,25.43%,72.61%,43.48%,229.00%,刘玉,152天,19.99%,2年又86天
前海开源沪港深大消费混合A,002662,0.13亿元（2020-09-30）,15.05%,23.41%,30.57%,66.36%,64.86%,100.30%,田维/范洁,185天,27.01%,185天/3年又128天
天治转型升级混合,007084,0.09亿元（2020-09-30）,18.32%,23.98%,36.80%,90.52%,--,116.66%,TIAN HUAN,6天,3.55%,2年又157天
长安裕泰混合A,005341,0.31亿元（2020-09-30）,28.73%,46.34%,59.62%,109.05%,202.71%,204.77%,徐小勇,2年又14天,259.27%,9年又101天
中邮核心成长混合,590002,58.45亿元（2020-09-30）,14.42%,23.92%,24.74%,59.93%,52.38%,3.62%,国晓雯,83天,22.96%,4年又2天
恒越研究精选混合C,007192,0.79亿元（2020-09-30）,24.01%,41.26%,60.63%,99.22%,--,98.04%,高楠/李静,164天,46.83%,2年又294天/2年又191天
九泰锐丰灵活配置混合(LOF)A,168104,0.84亿元（2020-09-30）,17.84%,25.41%,40.47%,79.37%,128.74%,140.50%,刘开运,4年又134天,140.50%,5年又180天
富国新活力灵活配置混合A,004604,2.83亿元（2020-09-30）,11.98%,23.58%,33.07%,71.31%,132.80%,151.94%,孙彬,184天,32.31%,1年又233天
博时逆向投资混合C,004435,1.27亿元（2020-09-30）,12.22%,20.10%,30.12%,67.97%,109.72%,91.68%,李喆/蔡滨,74天,17.03%,74天/6年又17天
中邮价值精选混合C,009489,1.24亿元（2020-09-30）,11.05%,19.79%,23.62%,--,--,23.58%,任慧峰/国晓雯,200天,23.58%,2年又143天/4年又2天
浦银安盛新经济结构混合,519126,2.05亿元（2020-09-30）,20.80%,33.09%,41.13%,96.66%,107.03%,194.40%,蒋佳良,2年又71天,215.88%,3年又214天
银华同力精选混合,009394,76.28亿元（2020-09-30）,4.11%,7.91%,2.01%,--,--,6.12%,刘辉,208天,6.12%,3年又302天
金鹰策略配置混合,210008,6.13亿元（2020-09-30）,26.27%,45.10%,19.65%,115.81%,106.28%,253.23%,韩广哲,1年又38天,122.95%,2年又205天
南华丰淳混合C,005297,0.04亿元（2020-09-30）,18.15%,24.23%,26.65%,63.92%,66.13%,66.35%,徐超/刘斐,359天,57.32%,4年又253天/3年又148天
金鹰多元策略混合,002844,1.46亿元（2020-09-30）,14.01%,32.16%,14.59%,51.38%,91.55%,102.28%,樊勇,53天,18.94%,2年又91天
中银移动互联灵活配置混合,002180,1.99亿元（2020-09-30）,17.01%,28.14%,32.91%,89.13%,91.72%,96.70%,吴印,321天,73.46%,9年又211天
平安优势产业混合C,006101,3.99亿元（2020-09-30）,12.01%,20.30%,18.08%,66.38%,--,164.64%,黄维,2年又142天,164.64%,4年又146天
华商大盘量化精选混合,630015,4.66亿元（2020-09-30）,14.08%,25.01%,18.82%,69.42%,54.38%,252.16%,王东旋,3年又260天,60.79%,5年又125天
大成一带一路灵活配置混合,002319,5.15亿元（2020-09-30）,4.65%,4.65%,14.52%,47.29%,68.95%,95.98%,戴军,3年又223天,95.98%,5年又236天
华安量化多因子混合(LOF),160415,0.12亿元（2020-09-30）,19.69%,31.35%,26.53%,61.62%,27.95%,73.42%,马丁/孙晨进,1年又288天,63.01%,1年又288天/5年又298天
恒生沪港深新兴产业精选混合,004332,0.89亿元（2020-09-30）,14.07%,21.62%,29.34%,64.50%,61.95%,77.45%,郑栋,109天,22.64%,357天
恒越研究精选混合A/B,006049,0.44亿元（2020-09-30）,24.03%,41.33%,60.78%,99.55%,--,127.75%,高楠/李静,164天,46.95%,2年又294天/2年又191天
前海开源沪港深大消费混合C,002663,0.44亿元（2020-09-30）,15.04%,23.39%,30.51%,66.17%,64.38%,98.90%,田维/范洁,185天,26.93%,185天/3年又128天
易方达新收益混合A,001216,5.48亿元（2020-09-30）,15.48%,28.53%,48.90%,92.85%,216.57%,299.20%,张清华,2年又3天,208.26%,7年又20天
平安核心优势混合A,006720,0.09亿元（2020-09-30）,22.84%,29.22%,29.76%,86.21%,--,140.58%,丁琳,109天,27.97%,151天
银河蓝筹混合,519672,12.04亿元（2020-09-30）,11.56%,17.37%,15.56%,69.78%,121.97%,416.30%,袁曦,4年又169天,192.69%,5年又15天
长安鑫盈混合A,006371,9.02亿元（2020-09-30）,28.64%,46.17%,64.83%,116.75%,--,161.25%,林忠晶/徐小勇,1年又177天,161.25%,5年又350天/9年又101天
