基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
南方产业活力,000955,8.51亿元（2020-09-30）,8.33%,14.16%,16.20%,58.49%,59.92%,95.10%,蒋秋洁,1年又302天,100.31%,6年又25天
创金同顺创业板精选股票A,009513,0.33亿元（2020-09-30）,8.93%,12.08%,16.92%,--,--,18.69%,董梁/王林峰,137天,7.70%,3年又147天/1年又144天
创金合信医药消费股票A,010585,7.23亿元（2020-12-03）,6.85%,--,--,--,--,6.86%,皮劲松,38天,6.86%,2年又72天
景顺长城电子信息产业股票A,010003,36.67亿元（2020-09-09）,1.19%,8.79%,--,--,--,8.77%,杨锐文,123天,8.77%,6年又79天
博时国企改革股票,001277,7.02亿元（2020-09-30）,7.64%,10.96%,5.04%,30.21%,20.72%,4.30%,林景艺,4年又217天,43.66%,5年又237天
创金合信医药消费股票C,010586,1.68亿元（2020-12-03）,6.81%,--,--,--,--,6.81%,皮劲松,38天,6.81%,2年又72天
嘉实医疗保健股票,000711,15.04亿元（2020-09-30）,7.53%,6.70%,15.36%,65.24%,102.18%,205.70%,颜媛,173天,7.00%,5年又58天
创金同顺创业板精选股票C,009514,0.35亿元（2020-09-30）,8.89%,11.92%,16.63%,--,--,18.38%,董梁/王林峰,137天,7.51%,3年又147天/1年又144天
建信多因子量化股票,002952,0.15亿元（2020-09-30）,8.10%,9.62%,8.92%,41.04%,31.34%,48.20%,叶乐天,4年又155天,48.20%,8年又297天
大成睿鑫股票A,009069,21.68亿元（2020-08-11）,3.83%,10.39%,--,--,--,9.30%,刘旭,152天,9.30%,5年又167天
中银内核驱动股票,009877,17.21亿元（2020-08-18）,14.73%,23.14%,--,--,--,21.74%,吴印,145天,21.74%,9年又211天
大成睿鑫股票C,009070,1.62亿元（2020-08-11）,3.80%,10.28%,--,--,--,9.12%,刘旭,152天,9.12%,5年又167天
景顺长城研究精选股票,000688,0.61亿元（2020-09-30）,11.90%,15.10%,13.09%,36.71%,34.55%,117.43%,崔俊杰/曾理,45天,13.15%,7年又72天/2年又90天
前海开源再融资股票,001178,20.41亿元（2020-09-30）,2.77%,4.74%,1.14%,20.31%,68.85%,138.16%,邱杰,5年又239天,138.16%,5年又364天
嘉实企业变革股票,001036,6.88亿元（2020-09-30）,9.38%,15.78%,15.12%,49.30%,70.41%,82.00%,谢泽林,3年又86天,84.40%,5年又124天
